year,region,fertrate,china,after_treatment
1972,13,7.06,FALSE,FALSE
1973,13,7.094,FALSE,FALSE
1974,13,7.121,FALSE,FALSE
1975,13,7.143,FALSE,FALSE
1976,13,7.167,FALSE,FALSE
1977,13,7.195,FALSE,FALSE
1978,13,7.23,FALSE,FALSE
1979,13,7.271,FALSE,FALSE
1980,13,7.316,FALSE,FALSE
1981,13,7.36,FALSE,FALSE
1982,13,7.397,FALSE,FALSE
1983,13,7.424,FALSE,FALSE
1984,13,7.437,FALSE,FALSE
1985,13,7.435,FALSE,FALSE
1986,13,7.418,FALSE,FALSE
1987,13,7.387,FALSE,FALSE
1988,13,7.347,FALSE,FALSE
1989,13,7.298,FALSE,FALSE
1990,13,7.246,FALSE,FALSE
1991,13,7.193,FALSE,FALSE
1992,13,7.141,FALSE,FALSE
1993,13,7.092,FALSE,FALSE
1994,13,7.043,FALSE,FALSE
1995,13,6.991,FALSE,FALSE
1996,13,6.931,FALSE,FALSE
1997,13,6.858,FALSE,FALSE
1998,13,6.769,FALSE,FALSE
1999,13,6.664,FALSE,FALSE
2000,13,6.543,FALSE,FALSE
2001,13,6.407,FALSE,FALSE
2002,13,6.262,FALSE,FALSE
2003,13,6.112,FALSE,FALSE
2004,13,5.961,FALSE,FALSE
2005,13,5.812,FALSE,FALSE
2006,13,5.667,FALSE,FALSE
2007,13,5.526,FALSE,FALSE
2008,13,5.39,FALSE,FALSE
2009,13,5.26,FALSE,FALSE
2010,13,5.136,FALSE,FALSE
2011,13,5.017,FALSE,FALSE
2012,13,4.901,FALSE,FALSE
2013,13,4.787,FALSE,FALSE
2014,13,4.675,FALSE,FALSE
2015,13,4.565,FALSE,FALSE
2016,13,4.456,FALSE,FALSE
2017,13,4.35,FALSE,FALSE
2018,13,4.247,FALSE,FALSE
2019,13,4.146,FALSE,FALSE
1960,14,7.148,FALSE,FALSE
1961,14,7.087,FALSE,FALSE
1962,14,7.02,FALSE,FALSE
1963,14,6.947,FALSE,FALSE
1964,14,6.867,FALSE,FALSE
1965,14,6.781,FALSE,FALSE
1966,14,6.689,FALSE,FALSE
1967,14,6.589,FALSE,FALSE
1968,14,6.485,FALSE,FALSE
1969,14,6.376,FALSE,FALSE
1970,14,6.264,FALSE,FALSE
1971,14,6.152,FALSE,FALSE
1972,14,6.041,FALSE,FALSE
1973,14,5.931,FALSE,FALSE
1974,14,5.824,FALSE,FALSE
1975,14,5.718,FALSE,FALSE
1976,14,5.613,FALSE,FALSE
1977,14,5.506,FALSE,FALSE
1978,14,5.399,FALSE,FALSE
1979,14,5.29,FALSE,FALSE
1980,14,5.183,FALSE,FALSE
1981,14,5.078,FALSE,FALSE
1982,14,4.978,FALSE,FALSE
1983,14,4.883,FALSE,FALSE
1984,14,4.795,FALSE,FALSE
1985,14,4.712,FALSE,FALSE
1986,14,4.632,FALSE,FALSE
1987,14,4.554,FALSE,FALSE
1988,14,4.476,FALSE,FALSE
1989,14,4.397,FALSE,FALSE
1990,14,4.32,FALSE,FALSE
1991,14,4.246,FALSE,FALSE
1992,14,4.177,FALSE,FALSE
1993,14,4.113,FALSE,FALSE
1994,14,4.056,FALSE,FALSE
1995,14,4.005,FALSE,FALSE
1996,14,3.961,FALSE,FALSE
1997,14,3.922,FALSE,FALSE
1998,14,3.886,FALSE,FALSE
1999,14,3.85,FALSE,FALSE
2000,14,3.811,FALSE,FALSE
2001,14,3.766,FALSE,FALSE
2002,14,3.712,FALSE,FALSE
2003,14,3.65,FALSE,FALSE
2004,14,3.579,FALSE,FALSE
2005,14,3.504,FALSE,FALSE
2006,14,3.429,FALSE,FALSE
2007,14,3.359,FALSE,FALSE
2008,14,3.294,FALSE,FALSE
2009,14,3.236,FALSE,FALSE
2010,14,3.18,FALSE,FALSE
2011,14,3.121,FALSE,FALSE
2012,14,3.055,FALSE,FALSE
2013,14,2.979,FALSE,FALSE
2014,14,2.894,FALSE,FALSE
2015,14,2.805,FALSE,FALSE
2016,14,2.718,FALSE,FALSE
2017,14,2.64,FALSE,FALSE
2018,14,2.576,FALSE,FALSE
2019,14,2.526,FALSE,FALSE
1960,15,6.716,FALSE,FALSE
1961,15,6.696,FALSE,FALSE
1962,15,6.673,FALSE,FALSE
1963,15,6.646,FALSE,FALSE
1964,15,6.615,FALSE,FALSE
1965,15,6.577,FALSE,FALSE
1966,15,6.529,FALSE,FALSE
1967,15,6.469,FALSE,FALSE
1968,15,6.399,FALSE,FALSE
1969,15,6.319,FALSE,FALSE
1970,15,6.233,FALSE,FALSE
1971,15,6.144,FALSE,FALSE
1972,15,6.056,FALSE,FALSE
1973,15,5.974,FALSE,FALSE
1974,15,5.899,FALSE,FALSE
1975,15,5.833,FALSE,FALSE
1976,15,5.778,FALSE,FALSE
1977,15,5.731,FALSE,FALSE
1978,15,5.69,FALSE,FALSE
1979,15,5.65,FALSE,FALSE
1980,15,5.61,FALSE,FALSE
1981,15,5.567,FALSE,FALSE
1982,15,5.516,FALSE,FALSE
1983,15,5.456,FALSE,FALSE
1984,15,5.383,FALSE,FALSE
1985,15,5.293,FALSE,FALSE
1986,15,5.182,FALSE,FALSE
1987,15,5.052,FALSE,FALSE
1988,15,4.906,FALSE,FALSE
1989,15,4.747,FALSE,FALSE
1990,15,4.58,FALSE,FALSE
1991,15,4.413,FALSE,FALSE
1992,15,4.253,FALSE,FALSE
1993,15,4.103,FALSE,FALSE
1994,15,3.967,FALSE,FALSE
1995,15,3.844,FALSE,FALSE
1996,15,3.733,FALSE,FALSE
1997,15,3.629,FALSE,FALSE
1998,15,3.529,FALSE,FALSE
1999,15,3.432,FALSE,FALSE
2000,15,3.34,FALSE,FALSE
2001,15,3.253,FALSE,FALSE
2002,15,3.173,FALSE,FALSE
2003,15,3.106,FALSE,FALSE
2004,15,3.052,FALSE,FALSE
2005,15,3.019,FALSE,FALSE
2006,15,3.013,FALSE,FALSE
2007,15,3.037,FALSE,FALSE
2008,15,3.085,FALSE,FALSE
2009,15,3.154,FALSE,FALSE
2010,15,3.233,FALSE,FALSE
2011,15,3.311,FALSE,FALSE
2012,15,3.377,FALSE,FALSE
2013,15,3.421,FALSE,FALSE
2014,15,3.441,FALSE,FALSE
2015,15,3.436,FALSE,FALSE
2016,15,3.41,FALSE,FALSE
2017,15,3.37,FALSE,FALSE
2018,15,3.326,FALSE,FALSE
2019,15,3.28,FALSE,FALSE
