year,region,fertrate,china,after_treatment
2007,3,2.823,FALSE,FALSE
2008,3,2.743,FALSE,FALSE
2009,3,2.661,FALSE,FALSE
2010,3,2.581,FALSE,FALSE
2011,3,2.506,FALSE,FALSE
2012,3,2.439,FALSE,FALSE
2013,3,2.381,FALSE,FALSE
2014,3,2.333,FALSE,FALSE
2015,3,2.295,FALSE,FALSE
2016,3,2.266,FALSE,FALSE
2017,3,2.243,FALSE,FALSE
2018,3,2.222,FALSE,FALSE
2019,3,2.202,FALSE,FALSE
1960,4,3.654,FALSE,FALSE
1961,4,3.62,FALSE,FALSE
1962,4,3.461,FALSE,FALSE
1963,4,3.319,FALSE,FALSE
1964,4,3.19,FALSE,FALSE
1965,4,2.913,FALSE,FALSE
1966,4,2.721,FALSE,FALSE
1967,4,2.558,FALSE,FALSE
1968,4,2.464,FALSE,FALSE
1969,4,2.456,FALSE,FALSE
1970,4,2.48,FALSE,FALSE
1971,4,2.266,FALSE,FALSE
1972,4,2.01,FALSE,FALSE
1973,4,1.879,FALSE,FALSE
1974,4,1.835,FALSE,FALSE
1975,4,1.774,FALSE,FALSE
1976,4,1.738,FALSE,FALSE
1977,4,1.79,FALSE,FALSE
1978,4,1.76,FALSE,FALSE
1979,4,1.808,FALSE,FALSE
1980,4,1.8395,FALSE,FALSE
1981,4,1.812,FALSE,FALSE
1982,4,1.8275,FALSE,FALSE
1983,4,1.799,FALSE,FALSE
1984,4,1.8065,FALSE,FALSE
1985,4,1.844,FALSE,FALSE
1986,4,1.8375,FALSE,FALSE
1987,4,1.872,FALSE,FALSE
1988,4,1.934,FALSE,FALSE
1989,4,2.014,FALSE,FALSE
1990,4,2.081,FALSE,FALSE
1991,4,2.0625,FALSE,FALSE
1992,4,2.046,FALSE,FALSE
1993,4,2.0195,FALSE,FALSE
1994,4,2.0015,FALSE,FALSE
1995,4,1.978,FALSE,FALSE
1996,4,1.976,FALSE,FALSE
1997,4,1.971,FALSE,FALSE
1998,4,1.999,FALSE,FALSE
1999,4,2.0075,FALSE,FALSE
2000,4,2.056,FALSE,FALSE
2001,4,2.0305,FALSE,FALSE
2002,4,2.0205,FALSE,FALSE
2003,4,2.0475,FALSE,FALSE
2004,4,2.0515,FALSE,FALSE
2005,4,2.057,FALSE,FALSE
2006,4,2.108,FALSE,FALSE
2007,4,2.12,FALSE,FALSE
2008,4,2.072,FALSE,FALSE
2009,4,2.002,FALSE,FALSE
2010,4,1.931,FALSE,FALSE
2011,4,1.8945,FALSE,FALSE
2012,4,1.8805,FALSE,FALSE
2013,4,1.8575,FALSE,FALSE
2014,4,1.8625,FALSE,FALSE
2015,4,1.8435,FALSE,FALSE
2016,4,1.8205,FALSE,FALSE
2017,4,1.7655,FALSE,FALSE
2018,4,1.7295,FALSE,FALSE
2019,4,1.705,FALSE,FALSE
1960,5,5.666,FALSE,FALSE
1961,5,5.656,FALSE,FALSE
1962,5,5.645,FALSE,FALSE
1963,5,5.634,FALSE,FALSE
1964,5,5.623,FALSE,FALSE
1965,5,5.612,FALSE,FALSE
1966,5,5.599,FALSE,FALSE
1967,5,5.582,FALSE,FALSE
1968,5,5.556,FALSE,FALSE
1969,5,5.521,FALSE,FALSE
1970,5,5.474,FALSE,FALSE
1971,5,5.413,FALSE,FALSE
1972,5,5.338,FALSE,FALSE
1973,5,5.251,FALSE,FALSE
1974,5,5.152,FALSE,FALSE
1975,5,5.043,FALSE,FALSE
1976,5,4.927,FALSE,FALSE
1977,5,4.806,FALSE,FALSE
1978,5,4.682,FALSE,FALSE
1979,5,4.557,FALSE,FALSE
1980,5,4.43,FALSE,FALSE
1981,5,4.301,FALSE,FALSE
1982,5,4.167,FALSE,FALSE
1983,5,4.028,FALSE,FALSE
1984,5,3.887,FALSE,FALSE
1985,5,3.745,FALSE,FALSE
1986,5,3.606,FALSE,FALSE
1987,5,3.472,FALSE,FALSE
1988,5,3.346,FALSE,FALSE
1989,5,3.229,FALSE,FALSE
1990,5,3.122,FALSE,FALSE
1991,5,3.022,FALSE,FALSE
1992,5,2.929,FALSE,FALSE
1993,5,2.842,FALSE,FALSE
1994,5,2.761,FALSE,FALSE
1995,5,2.688,FALSE,FALSE
1996,5,2.627,FALSE,FALSE
1997,5,2.579,FALSE,FALSE
1998,5,2.544,FALSE,FALSE
1999,5,2.523,FALSE,FALSE
2000,5,2.512,FALSE,FALSE
2001,5,2.509,FALSE,FALSE
2002,5,2.511,FALSE,FALSE
2003,5,2.513,FALSE,FALSE
2004,5,2.515,FALSE,FALSE
2005,5,2.514,FALSE,FALSE
2006,5,2.51,FALSE,FALSE
2007,5,2.505,FALSE,FALSE
2008,5,2.499,FALSE,FALSE
2009,5,2.492,FALSE,FALSE
2010,5,2.483,FALSE,FALSE
2011,5,2.471,FALSE,FALSE
2012,5,2.455,FALSE,FALSE
2013,5,2.436,FALSE,FALSE
2014,5,2.413,FALSE,FALSE
2015,5,2.389,FALSE,FALSE
2016,5,2.362,FALSE,FALSE
2017,5,2.336,FALSE,FALSE
2018,5,2.311,FALSE,FALSE
2019,5,2.288,FALSE,FALSE
1960,6,6.6,FALSE,FALSE
1961,6,6.6,FALSE,FALSE
1962,6,6.6,FALSE,FALSE
1963,6,6.6,FALSE,FALSE
1964,6,6.6,FALSE,FALSE
1965,6,6.6,FALSE,FALSE
1966,6,6.6,FALSE,FALSE
1967,6,6.6,FALSE,FALSE
1968,6,6.6,FALSE,FALSE
1969,6,6.6,FALSE,FALSE
1970,6,6.601,FALSE,FALSE
1971,6,6.602,FALSE,FALSE
1972,6,6.605,FALSE,FALSE
1973,6,6.608,FALSE,FALSE
1974,6,6.611,FALSE,FALSE
1975,6,6.612,FALSE,FALSE
1976,6,6.608,FALSE,FALSE
1977,6,6.599,FALSE,FALSE
1978,6,6.583,FALSE,FALSE
1979,6,6.561,FALSE,FALSE
1980,6,6.534,FALSE,FALSE
1981,6,6.504,FALSE,FALSE
1982,6,6.474,FALSE,FALSE
1983,6,6.444,FALSE,FALSE
1984,6,6.415,FALSE,FALSE
1985,6,6.385,FALSE,FALSE
1986,6,6.354,FALSE,FALSE
1987,6,6.318,FALSE,FALSE
1988,6,6.276,FALSE,FALSE
1989,6,6.225,FALSE,FALSE
1990,6,6.164,FALSE,FALSE
1991,6,6.091,FALSE,FALSE
1992,6,6.007,FALSE,FALSE
1993,6,5.912,FALSE,FALSE
1994,6,5.808,FALSE,FALSE
1995,6,5.694,FALSE,FALSE
1996,6,5.571,FALSE,FALSE
1997,6,5.442,FALSE,FALSE
1998,6,5.308,FALSE,FALSE
1999,6,5.172,FALSE,FALSE
2000,6,5.037,FALSE,FALSE
2001,6,4.904,FALSE,FALSE
2002,6,4.774,FALSE,FALSE
2003,6,4.648,FALSE,FALSE
2004,6,4.528,FALSE,FALSE
2005,6,4.416,FALSE,FALSE
2006,6,4.31,FALSE,FALSE
2007,6,4.211,FALSE,FALSE
2008,6,4.118,FALSE,FALSE
2009,6,4.031,FALSE,FALSE
2010,6,3.951,FALSE,FALSE
2011,6,3.88,FALSE,FALSE
2012,6,3.816,FALSE,FALSE
2013,6,3.759,FALSE,FALSE
2014,6,3.708,FALSE,FALSE
2015,6,3.66,FALSE,FALSE
2016,6,3.612,FALSE,FALSE
2017,6,3.562,FALSE,FALSE
2018,6,3.51,FALSE,FALSE
2019,6,3.454,FALSE,FALSE
1960,7,6.061,FALSE,FALSE
1961,7,6.031,FALSE,FALSE
1962,7,5.981,FALSE,FALSE
1963,7,5.91,FALSE,FALSE
1964,7,5.818,FALSE,FALSE
1965,7,5.703,FALSE,FALSE
1966,7,5.57,FALSE,FALSE
1967,7,5.424,FALSE,FALSE
1968,7,5.272,FALSE,FALSE
1969,7,5.12,FALSE,FALSE
1970,7,4.972,FALSE,FALSE
1971,7,4.836,FALSE,FALSE
1972,7,4.712,FALSE,FALSE
1973,7,4.6,FALSE,FALSE
1974,7,4.502,FALSE,FALSE
1975,7,4.415,FALSE,FALSE
1976,7,4.339,FALSE,FALSE
1977,7,4.267,FALSE,FALSE
1978,7,4.195,FALSE,FALSE
1979,7,4.12,FALSE,FALSE
1980,7,4.037,FALSE,FALSE
1981,7,3.943,FALSE,FALSE
1982,7,3.838,FALSE,FALSE
1983,7,3.723,FALSE,FALSE
1984,7,3.6,FALSE,FALSE
1985,7,3.471,FALSE,FALSE
1986,7,3.342,FALSE,FALSE
1987,7,3.217,FALSE,FALSE
1988,7,3.101,FALSE,FALSE
1989,7,2.995,FALSE,FALSE
1990,7,2.902,FALSE,FALSE
1991,7,2.822,FALSE,FALSE
1992,7,2.754,FALSE,FALSE
1993,7,2.693,FALSE,FALSE
1994,7,2.639,FALSE,FALSE
1995,7,2.588,FALSE,FALSE
1996,7,2.536,FALSE,FALSE
1997,7,2.483,FALSE,FALSE
1998,7,2.426,FALSE,FALSE
1999,7,2.365,FALSE,FALSE
2000,7,2.3,FALSE,FALSE
2001,7,2.232,FALSE,FALSE
2002,7,2.163,FALSE,FALSE
2003,7,2.097,FALSE,FALSE
2004,7,2.033,FALSE,FALSE
2005,7,1.976,FALSE,FALSE
2006,7,1.925,FALSE,FALSE
2007,7,1.882,FALSE,FALSE
2008,7,1.847,FALSE,FALSE
2009,7,1.818,FALSE,FALSE
2010,7,1.796,FALSE,FALSE
2011,7,1.781,FALSE,FALSE
2012,7,1.771,FALSE,FALSE
2013,7,1.764,FALSE,FALSE
2014,7,1.758,FALSE,FALSE
2015,7,1.753,FALSE,FALSE
2016,7,1.747,FALSE,FALSE
2017,7,1.739,FALSE,FALSE
2018,7,1.73,FALSE,FALSE
2019,7,1.719,FALSE,FALSE
1960,8,6.354,FALSE,FALSE
1961,8,6.351,FALSE,FALSE
1962,8,6.346,FALSE,FALSE
1963,8,6.341,FALSE,FALSE
1964,8,6.336,FALSE,FALSE
1965,8,6.335,FALSE,FALSE
1966,8,6.342,FALSE,FALSE
1967,8,6.359,FALSE,FALSE
1968,8,6.387,FALSE,FALSE
1969,8,6.425,FALSE,FALSE
1970,8,6.471,FALSE,FALSE
1971,8,6.522,FALSE,FALSE
1972,8,6.575,FALSE,FALSE
1973,8,6.625,FALSE,FALSE
1974,8,6.669,FALSE,FALSE
1975,8,6.706,FALSE,FALSE
1976,8,6.735,FALSE,FALSE
1977,8,6.757,FALSE,FALSE
1978,8,6.772,FALSE,FALSE
1979,8,6.781,FALSE,FALSE
1980,8,6.783,FALSE,FALSE
1981,8,6.779,FALSE,FALSE
1982,8,6.767,FALSE,FALSE
1983,8,6.749,FALSE,FALSE
1984,8,6.726,FALSE,FALSE
1985,8,6.698,FALSE,FALSE
1986,8,6.664,FALSE,FALSE
1987,8,6.625,FALSE,FALSE
1988,8,6.582,FALSE,FALSE
1989,8,6.537,FALSE,FALSE
1990,8,6.49,FALSE,FALSE
1991,8,6.443,FALSE,FALSE
1992,8,6.395,FALSE,FALSE
1993,8,6.348,FALSE,FALSE
1994,8,6.303,FALSE,FALSE
1995,8,6.262,FALSE,FALSE
1996,8,6.224,FALSE,FALSE
1997,8,6.19,FALSE,FALSE
1998,8,6.159,FALSE,FALSE
1999,8,6.131,FALSE,FALSE
2000,8,6.106,FALSE,FALSE
2001,8,6.083,FALSE,FALSE
2002,8,6.06,FALSE,FALSE
2003,8,6.036,FALSE,FALSE
2004,8,6.011,FALSE,FALSE
2005,8,5.985,FALSE,FALSE
2006,8,5.958,FALSE,FALSE
2007,8,5.93,FALSE,FALSE
2008,8,5.902,FALSE,FALSE
2009,8,5.872,FALSE,FALSE
2010,8,5.839,FALSE,FALSE
2011,8,5.802,FALSE,FALSE
2012,8,5.758,FALSE,FALSE
2013,8,5.709,FALSE,FALSE
2014,8,5.653,FALSE,FALSE
2015,8,5.592,FALSE,FALSE
2016,8,5.526,FALSE,FALSE
2017,8,5.457,FALSE,FALSE
2018,8,5.387,FALSE,FALSE
2019,8,5.317,FALSE,FALSE
1960,9,6.725,FALSE,FALSE
1961,9,6.761,FALSE,FALSE
1962,9,6.794,FALSE,FALSE
1963,9,6.825,FALSE,FALSE
1964,9,6.853,FALSE,FALSE
1965,9,6.878,FALSE,FALSE
1966,9,6.901,FALSE,FALSE
1967,9,6.92,FALSE,FALSE
1968,9,6.935,FALSE,FALSE
1969,9,6.945,FALSE,FALSE
1970,9,6.947,FALSE,FALSE
1971,9,6.942,FALSE,FALSE
1972,9,6.928,FALSE,FALSE
1973,9,6.904,FALSE,FALSE
1974,9,6.869,FALSE,FALSE
1975,9,6.821,FALSE,FALSE
1976,9,6.758,FALSE,FALSE
1977,9,6.681,FALSE,FALSE
1978,9,6.59,FALSE,FALSE
1979,9,6.483,FALSE,FALSE
1980,9,6.359,FALSE,FALSE
1981,9,6.217,FALSE,FALSE
1982,9,6.058,FALSE,FALSE
1983,9,5.884,FALSE,FALSE
1984,9,5.698,FALSE,FALSE
1985,9,5.501,FALSE,FALSE
1986,9,5.298,FALSE,FALSE
1987,9,5.092,FALSE,FALSE
1988,9,4.887,FALSE,FALSE
1989,9,4.686,FALSE,FALSE
1990,9,4.495,FALSE,FALSE
1991,9,4.315,FALSE,FALSE
1992,9,4.146,FALSE,FALSE
1993,9,3.99,FALSE,FALSE
1994,9,3.846,FALSE,FALSE
1995,9,3.713,FALSE,FALSE
1996,9,3.591,FALSE,FALSE
1997,9,3.478,FALSE,FALSE
1998,9,3.371,FALSE,FALSE
1999,9,3.269,FALSE,FALSE
2000,9,3.169,FALSE,FALSE
2001,9,3.07,FALSE,FALSE
2002,9,2.973,FALSE,FALSE
2003,9,2.876,FALSE,FALSE
2004,9,2.782,FALSE,FALSE
2005,9,2.691,FALSE,FALSE
2006,9,2.604,FALSE,FALSE
2007,9,2.523,FALSE,FALSE
2008,9,2.449,FALSE,FALSE
2009,9,2.382,FALSE,FALSE
2010,9,2.324,FALSE,FALSE
2011,9,2.273,FALSE,FALSE
2012,9,2.228,FALSE,FALSE
2013,9,2.188,FALSE,FALSE
2014,9,2.152,FALSE,FALSE
2015,9,2.12,FALSE,FALSE
2016,9,2.09,FALSE,FALSE
2017,9,2.062,FALSE,FALSE
2018,9,2.036,FALSE,FALSE
2019,9,2.011,FALSE,FALSE
1960,10,2.52,FALSE,FALSE
1961,10,2.45,FALSE,FALSE
1962,10,2.36,FALSE,FALSE
1963,10,2.27,FALSE,FALSE
1964,10,2.18,FALSE,FALSE
1965,10,2.13,FALSE,FALSE
1966,10,2.1,FALSE,FALSE
1967,10,2.04,FALSE,FALSE
1968,10,1.99,FALSE,FALSE
1969,10,1.97,FALSE,FALSE
1970,10,1.99,FALSE,FALSE
1971,10,2.03,FALSE,FALSE
1972,10,2.04,FALSE,FALSE
1973,10,2.01,FALSE,FALSE
1974,10,2,FALSE,FALSE
1975,10,1.98,FALSE,FALSE
1976,10,1.97,FALSE,FALSE
1977,10,1.95,FALSE,FALSE
1978,10,1.92,FALSE,FALSE
1979,10,1.9,FALSE,FALSE
1980,10,1.89,FALSE,FALSE
1981,10,1.91,FALSE,FALSE
1982,10,2.04,FALSE,FALSE
1983,10,2.11,FALSE,FALSE
1984,10,2.06,FALSE,FALSE
1985,10,2.05,FALSE,FALSE
1986,10,2.15,FALSE,FALSE
1987,10,2.22,FALSE,FALSE
1988,10,2.12,FALSE,FALSE
1989,10,2.01,FALSE,FALSE
1990,10,1.892,FALSE,FALSE
1991,10,1.732,FALSE,FALSE
1992,10,1.552,FALSE,FALSE
1993,10,1.385,FALSE,FALSE
1994,10,1.4,FALSE,FALSE
1995,10,1.337,FALSE,FALSE
1996,10,1.27,FALSE,FALSE
1997,10,1.218,FALSE,FALSE
1998,10,1.232,FALSE,FALSE
1999,10,1.157,FALSE,FALSE
2000,10,1.195,FALSE,FALSE
2001,10,1.223,FALSE,FALSE
2002,10,1.286,FALSE,FALSE
2003,10,1.319,FALSE,FALSE
2004,10,1.344,FALSE,FALSE
2005,10,1.294,FALSE,FALSE
2006,10,1.305,FALSE,FALSE
2007,10,1.416,FALSE,FALSE
2008,10,1.502,FALSE,FALSE
2009,10,1.542,FALSE,FALSE
2010,10,1.567,FALSE,FALSE
2011,10,1.582,FALSE,FALSE
2012,10,1.691,FALSE,FALSE
2013,10,1.707,FALSE,FALSE
2014,10,1.75,FALSE,FALSE
2015,10,1.777,FALSE,FALSE
2016,10,1.762,FALSE,FALSE
2017,10,1.621,FALSE,FALSE
2018,10,1.579,FALSE,FALSE
2019,10,1.504,FALSE,FALSE
1960,11,6.769,FALSE,FALSE
1961,11,6.768,FALSE,FALSE
1962,11,6.77,FALSE,FALSE
1963,11,6.775,FALSE,FALSE
1964,11,6.78,FALSE,FALSE
1965,11,6.783,FALSE,FALSE
1966,11,6.779,FALSE,FALSE
1967,11,6.764,FALSE,FALSE
1968,11,6.734,FALSE,FALSE
1969,11,6.684,FALSE,FALSE
1970,11,6.611,FALSE,FALSE
1971,11,6.51,FALSE,FALSE
1972,11,6.382,FALSE,FALSE
1973,11,6.23,FALSE,FALSE
1974,11,6.057,FALSE,FALSE
1975,11,5.866,FALSE,FALSE
1976,11,5.661,FALSE,FALSE
1977,11,5.448,FALSE,FALSE
1978,11,5.234,FALSE,FALSE
1979,11,5.024,FALSE,FALSE
1980,11,4.823,FALSE,FALSE
1981,11,4.636,FALSE,FALSE
1982,11,4.463,FALSE,FALSE
1983,11,4.304,FALSE,FALSE
1984,11,4.158,FALSE,FALSE
1985,11,4.026,FALSE,FALSE
1986,11,3.904,FALSE,FALSE
1987,11,3.79,FALSE,FALSE
1988,11,3.68,FALSE,FALSE
1989,11,3.574,FALSE,FALSE
1990,11,3.47,FALSE,FALSE
1991,11,3.369,FALSE,FALSE
1992,11,3.273,FALSE,FALSE
1993,11,3.182,FALSE,FALSE
